id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
9253900271,1/7/2015,3.57E+06,5,4.5,4850,10584,2,1,4,3,10,3540,1310,2007,0,98008,47.5943,-122.11,3470,18270
8964800890,1/9/2015,3.20E+06,3,3.25,4560,13363,1,0,4,3,11,2760,1800,1995,0,98004,47.6205,-122.214,4060,13362
1732800780,2/12/2015,3.07E+06,5,3,4150,7500,2.5,0,4,5,11,3510,640,1909,0,98119,47.6303,-122.362,2250,4050
9808100100,2/2/2015,3.00E+06,5,3.25,5370,14091,2,0,0,3,10,3850,1520,1918,2008,98004,47.6499,-122.216,2410,12047
3859900060,1/12/2015,2.75E+06,5,4,6300,16065,2,0,1,3,12,4360,1940,2004,0,98004,47.5922,-122.207,3260,17287
2524069078,1/22/2015,2.70E+06,4,4,7850,89651,2,0,0,3,12,7850,0,2006,0,98027,47.5406,-121.982,6210,95832
8084900160,2/12/2015,2.64E+06,5,4.25,4660,16200,2,0,2,3,11,4660,0,2005,0,98004,47.6326,-122.216,3340,16200
2426039123,1/30/2015,2.42E+06,5,4.75,7880,24250,2,0,2,3,13,7880,0,1996,0,98177,47.7334,-122.362,2740,10761
1725059127,2/25/2015,2.35E+06,6,4.25,5550,11547,2,0,2,3,11,4270,1280,2014,0,98033,47.6547,-122.202,3480,11547
5452301785,2/18/2015,2.30E+06,4,4.25,4070,13860,2,0,3,3,10,4070,0,2004,0,98040,47.59,-122.229,3430,9240
1118001201,1/30/2015,2.30E+06,4,2.5,3370,8402,1,0,0,5,10,2240,1130,1962,0,98112,47.6349,-122.29,3190,8700
8964800445,2/9/2015,2.26E+06,3,3.5,3110,14872,1,0,0,3,10,3110,0,2003,0,98004,47.6178,-122.209,3110,12433
1118001215,2/4/2015,2.25E+06,3,2.5,3420,8700,1,0,0,3,9,2890,530,1951,0,98112,47.6352,-122.29,3370,8700
868001435,1/27/2015,2.23E+06,3,3,3450,16740,1,0,4,4,9,1960,1490,1949,1993,98177,47.7067,-122.38,3220,12528
824059305,1/8/2015,2.20E+06,5,4,5840,11652,2,0,1,3,11,4410,1430,1988,0,98004,47.5835,-122.202,3120,13639
3761700053,1/5/2015,2.15E+06,3,2.75,3470,9610,3,1,4,3,11,3470,0,1989,2000,98034,47.7205,-122.26,4130,11875
622049114,2/18/2015,2.13E+06,3,2.5,5403,24069,2,1,4,4,12,5403,0,1976,0,98166,47.4169,-122.348,3980,104374
7352200450,1/15/2015,2.05E+06,4,3.25,3580,19989,1.5,1,4,4,7,3480,100,1915,1965,98125,47.7087,-122.276,2410,6389
2025059026,2/25/2015,1.98E+06,4,3.5,4500,44384,1,0,0,3,12,3340,1160,1990,0,98004,47.6323,-122.192,2540,26287
8964800025,2/26/2015,1.97E+06,5,3.75,3940,13738,1.5,0,3,4,9,3940,0,1951,0,98004,47.6203,-122.212,2370,13320
3124059023,2/13/2015,1.96E+06,3,1.75,3330,12566,1,1,4,4,8,1940,1390,1960,0,98040,47.5287,-122.22,3730,16560
8835800350,1/12/2015,1.95E+06,4,3.25,7420,167869,2,0,3,3,12,7420,0,2002,0,98045,47.4548,-121.764,5610,169549
5493110020,1/16/2015,1.95E+06,4,2.75,4020,18745,2,0,4,4,10,2830,1190,1989,0,98004,47.6042,-122.21,3150,20897
2626069030,2/9/2015,1.94E+06,4,5.75,7220,223462,2,0,4,3,12,6220,1000,2000,0,98053,47.7097,-122.013,2680,7593
1630700380,1/30/2015,1.92E+06,5,5.75,7730,230868,2,0,0,3,12,6660,1070,2004,0,98077,47.7615,-122.084,2660,39292
2540700110,2/12/2015,1.91E+06,4,3.5,4210,18564,2,0,0,3,11,4210,0,2001,0,98039,47.6206,-122.225,3520,18564
8085400401,1/15/2015,1.90E+06,4,4.5,4020,9656,2,0,0,3,10,4020,0,2007,0,98004,47.6358,-122.207,1960,9520
357000135,2/18/2015,1.90E+06,4,2.5,3070,7830,2,0,2,3,11,1970,1100,2009,0,98144,47.593,-122.291,2440,4682
715010530,1/13/2015,1.88E+06,5,3.5,4410,13000,2,0,3,3,10,2920,1490,2014,0,98006,47.5382,-122.111,5790,12969
3262300818,2/27/2015,1.87E+06,4,3.75,3790,8797,2,0,0,3,11,3290,500,2006,0,98039,47.6351,-122.236,2660,12150
